 時間帯,リンクID,種別,最大セクション,自由速度,平均速度,率
  600, 921570011,    1,   97,    7,     7.0,   1.000
  600, 920620031,    1,   89,    7,     7.0,   1.000
  600, 920040011,    1,   19,    7,     7.0,   1.000
  600, 921250051,    1,   32,   12,    12.0,   1.000
  600, 320010031,    1,   24,   12,    12.0,   1.000
  600, 921540011,    1,   77,    7,     7.0,   1.000
  600, 920380071,    1,   21,    9,     9.0,   1.000
  600, 920230011,    1,   76,    7,     7.0,   1.000
  600, 921020231,    1,    3,    9,     9.0,   1.000
  600, 911450051,    1,   47,    7,     7.0,   1.000
  600, 920230091,    1,   89,    7,     7.0,   1.000
  600, 910080031,    1,   43,    7,     7.0,   1.000
  600, 921490011,    1,   51,    7,     7.0,   1.000
  600, 921050091,    1,   90,   12,    12.0,   1.000
  600, 920120011,    1,   73,    7,     7.0,   1.000
  600, 320010051,    1,   23,   12,    12.0,   1.000
  600, 920650051,    1,   25,    9,     9.0,   1.000
  600, 920230051,    1,  101,    7,     7.0,   1.000
  600, 920620071,    1,    5,    7,     7.0,   1.000
  600, 910850031,    1,   48,    9,     9.0,   1.000
  600, 921710051,    1,   14,    7,     7.0,   1.000
  600, 920040031,    1,   30,    7,     7.0,   1.000
  600, 920780031,    1,   28,    7,     7.0,   0.999
  600, 921340091,    1,    7,    7,     7.0,   1.000
  600, 920960071,    1,   34,    9,     9.0,   1.000
  600, 921250011,    1,   22,    7,     7.0,   1.000
  600, 920120031,    1,   81,    7,     7.0,   1.000
  600, 921680031,    1,   58,    7,     7.0,   1.000
  600, 921020351,    1,   14,    9,     9.0,   1.000
  600, 921680051,    1,   28,    7,     7.0,   1.000
  600, 610100431,    1,   95,   12,    12.0,   0.999
  600, 610100371,    1,   47,   12,    11.9,   0.993
  600, 911000011,    1,  135,    7,     7.0,   0.999
  600, 620040111,    1,   43,    9,     9.0,   1.000
  600, 610100351,    1,   19,   12,    11.9,   0.993
  600, 910840011,    1,   60,    7,     7.0,   0.998
  600, 920840011,    1,   60,    7,     7.0,   1.000
  600, 610100291,    1,   86,   12,    11.9,   0.991
  600, 610100451,    1,   38,   12,    12.0,   0.996
  600, 911740031,    1,  133,    7,     7.0,   0.998
  600, 620040091,    1,   34,    9,     9.0,   1.000
  600, 911380231,    1,   17,    7,     7.0,   1.000
  600, 910830051,    1,   71,    7,     7.0,   1.000
  600, 620040071,    1,   62,    9,     9.0,   1.000
  600, 911970131,    1,   17,    7,     7.0,   1.000
  600, 911110031,    1,   48,    7,     7.0,   1.000
  600, 910550031,    1,   47,    7,     7.0,   1.000
  600, 910800031,    1,   47,    7,     7.0,   1.000
  600, 920660251,    1,   34,   12,    12.0,   1.000
  600, 910410011,    1,   17,    7,     7.0,   1.000
  600, 910660131,    1,   13,   12,    12.0,   0.998
  600, 911210011,    1,  165,    7,     7.0,   0.999
  600, 911990011,    1,   29,    7,     7.0,   0.998
  600, 911970151,    1,   28,    7,     7.0,   1.000
  600, 911970071,    1,    7,    7,     7.0,   1.000
  600, 911280031,    1,   20,    7,     7.0,   1.000
  600, 911740071,    1,    6,    7,     7.0,   1.000
  600, 911740011,    1,  103,    7,     7.0,   1.000
  600, 911550131,    1,   33,    7,     7.0,   1.000
  600, 910160071,    1,   32,    7,     7.0,   0.997
  600, 910160031,    1,   12,    7,     7.0,   0.997
  600, 911260071,    1,   22,    7,     7.0,   1.000
  600, 910680011,    1,   95,    7,     7.0,   1.000
  600, 921260031,    1,   43,    7,     7.0,   1.000
  600, 911260051,    1,   43,    7,     7.0,   0.999
  600, 911840031,    1,   19,    7,     7.0,   1.000
  600, 910530031,    1,   36,    7,     7.0,   1.000
  600, 910550011,    1,   67,    7,     7.0,   1.000
  600, 910710031,    1,   66,    7,     7.0,   1.000
  600, 911000051,    1,    6,    7,     7.0,   0.999
  600, 910930031,    1,   19,    7,     7.0,   1.000
  600, 911470051,    1,  120,    7,     7.0,   0.999
  600, 911970051,    1,   26,    7,     7.0,   0.997
  600, 911740051,    1,  103,    7,     7.0,   0.997
  600, 910630051,    1,   71,    7,     7.0,   1.000
  600, 910180031,    1,   95,    7,     7.0,   1.000
  600, 910630031,    1,   71,    7,     7.0,   1.000
  600, 910180011,    1,   74,    7,     7.0,   1.000
  600, 910740011,    1,   16,    7,     7.0,   0.998
  600, 911200051,    1,   93,    9,     8.9,   0.993
  600, 920660051,    1,   41,   12,    12.0,   1.000
  600, 920660091,    1,   33,   12,    12.0,   1.000
  600, 610090011,    1,   58,   12,    11.3,   0.938
  600, 310030011,    1,   47,   15,    15.0,   1.000
  600, 620090011,    1,   58,   12,    12.0,   1.000
  600, 911850031,    1,   91,   12,    12.0,   1.000
  600, 310020451,    1,   28,   12,    12.0,   0.999
  600, 910420091,    1,   60,   12,    12.0,   1.000
  600, 620140171,    1,   92,   12,    12.0,   1.000
  600, 910350051,    1,   45,    7,     7.0,   1.000
  600, 310030071,    1,   27,   15,    14.8,   0.986
  600, 910350011,    1,   36,    7,     7.0,   1.000
  600, 910750051,    1,   28,    7,     7.0,   1.000
  600, 410020151,    1,   24,    9,     8.4,   0.930
  600, 410010051,    1,   64,   12,    11.6,   0.967
  600, 911320131,    1,   42,    7,     7.0,   0.998
  600, 921560041,    1,   62,    9,     9.0,   1.000
  600, 910420051,    1,   99,   12,    12.0,   1.000
  600, 911560081,    1,    8,    7,     6.9,   0.990
  600, 910060011,    1,   85,    7,     7.0,   1.000
  600, 410010011,    1,   23,    9,     8.6,   0.953
  600, 420010031,    1,   94,    9,     9.0,   1.000
  600, 310020391,    1,   20,   12,    12.0,   0.996
  600, 911850011,    1,  108,   12,    12.0,   1.000
  600, 910210371,    1,   31,   12,    11.9,   0.990
  600, 911320071,    1,   36,    7,     7.0,   0.998
  600, 610140071,    1,   13,   12,    11.7,   0.972
  600, 310020331,    1,   14,   12,    11.9,   0.989
  600, 620140111,    1,   37,   12,    12.0,   1.000
  600, 410020211,    1,   45,    9,     8.3,   0.923
  600, 410020191,    1,   48,    9,     8.3,   0.926
  600, 410020131,    1,   80,   15,    14.4,   0.960
  600, 410020051,    1,   55,   15,    15.0,   0.997
  600, 911560121,    1,   20,    7,     7.0,   0.998
  600, 911880031,    1,   36,    7,     7.0,   1.000
  600, 911700051,    1,   34,    7,     7.0,   1.000
  600, 910600051,    1,   61,    7,     7.0,   1.000
  600, 920350011,    1,   36,    7,     7.0,   1.000
  600, 911700011,    1,   29,    7,     7.0,   0.998
  600, 910540011,    1,   42,    7,     7.0,   1.000
  600, 620140031,    1,   29,   12,    12.0,   1.000
  600, 920510011,    1,   55,    7,     7.0,   0.999
  600, 910720071,    1,   29,    7,     7.0,   1.000
  600, 910060051,    1,   35,    7,     7.0,   1.000
  600, 911800051,    1,  104,    7,     7.0,   1.000
  600, 910110051,    1,   24,    9,     8.9,   0.991
  600, 920210571,    1,    6,    7,     7.0,   1.000
  600, 911380111,    1,  110,    7,     7.0,   1.000
  600, 910520051,    1,   69,    7,     7.0,   0.999
  600, 910610051,    1,   11,    7,     7.0,   1.000
  600, 911380071,    1,   11,    7,     7.0,   0.997
  600, 911380051,    1,    8,    7,     7.0,   0.997
  600, 911800031,    1,   28,    7,     7.0,   0.999
  600, 920210511,    1,   29,    7,     7.0,   1.000
  600, 910210491,    1,   88,    9,     8.9,   0.990
  600, 910750031,    1,   99,    7,     7.0,   0.997
  600, 911870031,    1,   78,    7,     7.0,   0.996
  600, 910170011,    1,   32,    7,     7.0,   1.000
  600, 910210411,    1,    4,   12,    12.0,   1.000
  600, 911150031,    1,   22,    7,     7.0,   1.000
  600, 910020011,    1,   34,    7,     7.0,   1.000
  600, 911150011,    1,   52,    7,     7.0,   1.000
  600, 911150071,    1,   73,    7,     7.0,   1.000
  600, 911040031,    1,   27,    7,     7.0,   1.000
  600, 911040011,    1,   60,    7,     7.0,   1.000
  600, 911910031,    1,   27,    7,     7.0,   1.000
  600, 910720051,    1,   47,    7,     7.0,   1.000
  600, 910720031,    1,   55,    7,     7.0,   0.999
  600, 911430011,    1,   13,    7,     7.0,   0.995
  600, 420050301,    1,   84,   15,    15.0,   1.000
  600, 610100131,    1,   51,   12,    12.0,   1.000
  600, 310010231,    1,   84,   12,    12.0,   1.000
  600, 610160011,    1,    6,    7,     7.0,   1.000
  600, 420050261,    1,  119,   18,    18.0,   1.000
  600, 911310031,    1,   72,    7,     7.0,   1.000
  600, 420050281,    1,   69,   18,    18.0,   1.000
  600, 910270011,    1,   50,    7,     6.8,   0.971
  600, 920570011,    1,  136,    7,     7.0,   1.000
  600, 610100171,    1,  115,   12,    11.9,   0.988
  600, 610100151,    1,   44,   12,    11.7,   0.977
  600, 610100111,    1,   19,   12,    12.0,   1.000
  600, 320010091,    1,  141,   15,    15.0,   1.000
  600, 320010111,    1,  114,   15,    15.0,   1.000
  600, 911120091,    1,   75,    7,     7.0,   1.000
  600, 320010131,    1,  128,   12,    12.0,   0.998
  600, 921120011,    1,   70,    9,     9.0,   1.000
  600, 911060031,    1,  157,    7,     7.0,   0.997
  600, 320010211,    1,  209,   12,    11.8,   0.984
  600, 320010311,    1,   11,    9,     8.9,   0.992
  600, 320010351,    1,   13,    9,     8.8,   0.973
  600, 911190011,    1,    7,    7,     7.0,   1.000
  600, 910070051,    1,   24,    7,     7.0,   1.000
  600, 911950011,    1,   36,    7,     7.0,   1.000
  600, 911790031,    1,   41,    7,     7.0,   1.000
  600, 920440011,    1,  117,    7,     7.0,   1.000
  600, 620100051,    1,   84,   12,    12.0,   1.000
  600, 910690011,    1,   50,    7,     7.0,   1.000
  600, 920490031,    1,  182,    7,     7.0,   0.997
  600, 910810051,    1,   49,    7,     7.0,   1.000
  600, 910810011,    1,   47,    7,     7.0,   0.999
  600, 910960191,    1,   63,    7,     7.0,   1.000
  600, 910450071,    1,   17,    7,     7.0,   1.000
  600, 911120071,    1,    5,    7,     7.0,   1.000
  600, 910980091,    1,   21,    7,     7.0,   1.000
  600, 911530011,    1,   37,    7,     7.0,   1.000
  600, 911160031,    1,   24,    7,     7.0,   1.000
  600, 911630011,    1,  111,    7,     7.0,   1.000
  600, 610110151,    1,   66,   12,    11.5,   0.962
  600, 620110011,    1,   80,   12,    12.0,   1.000
  600, 310020131,    1,   48,   12,    12.0,   1.000
  600, 910470131,    1,   62,    9,     9.0,   0.999
  600, 911250071,    1,   32,   12,    12.0,   0.999
  600, 911270051,    1,   10,    7,     7.0,   1.000
  600, 610080051,    1,   83,    9,     8.8,   0.976
  600, 710020041,    1,   27,   15,    15.0,   1.000
